filename,concentration
9-1_Site56A_A1_CalCurve_run_035.wiff,0
9-1_Site56A_A2_CalCurve_run_087.wiff,0
9-1_Site56A_A3_CalCurve_run_150.wiff,0
9-1_Site56A_A4_CalCurve_run_291.wiff,0
9-1_Site56A_B1_CalCurve_run_036.wiff,0.001
9-1_Site56A_B2_CalCurve_run_088.wiff,0.001
9-1_Site56A_B3_CalCurve_run_151.wiff,0.001
9-1_Site56A_B4_CalCurve_run_299.wiff,0.001
9-1_Site56A_C1_CalCurve_run_037.wiff,0.004
9-1_Site56A_C2_CalCurve_run_089.wiff,0.004
9-1_Site56A_C3_CalCurve_run_152.wiff,0.004
9-1_Site56A_C4_CalCurve_run_300.wiff,0.004
9-1_Site56A_D1_CalCurve_run_038.wiff,0.018
9-1_Site56A_D2_CalCurve_run_090.wiff,0.018
9-1_Site56A_D3_CalCurve_run_153.wiff,0.018
9-1_Site56A_D4_CalCurve_run_304.wiff,0.018
9-1_Site56A_E1_CalCurve_run_041.wiff,0.075
9-1_Site56A_E2_CalCurve_run_093.wiff,0.075
9-1_Site56A_E3_CalCurve_run_156.wiff,0.075
9-1_Site56A_E4_CalCurve_run_307.wiff,0.075
9-1_Site56A_F1_CalCurve_run_042.wiff,0.316
9-1_Site56A_F2_CalCurve_run_094.wiff,0.316
9-1_Site56A_F3_CalCurve_run_157.wiff,0.316
9-1_Site56A_F4_CalCurve_run_308.wiff,0.316
9-1_Site56A_G1_CalCurve_run_043.wiff,1.33
9-1_Site56A_G2_CalCurve_run_095.wiff,1.33
9-1_Site56A_G3_CalCurve_run_158.wiff,1.33
9-1_Site56A_G4_CalCurve_run_309.wiff,1.33
9-1_Site56A_H1_CalCurve_run_044.wiff,5.620000006
9-1_Site56A_H2_CalCurve_run_096.wiff,5.620000006
9-1_Site56A_H3_CalCurve_run_159.wiff,5.620000006
9-1_Site56A_H4_CalCurve_run_310.wiff,5.620000006
9-1_Site56A_I1_CalCurve_run_047.wiff,23.71
9-1_Site56A_I2_CalCurve_run_099.wiff,23.71
9-1_Site56A_I3_CalCurve_run_162.wiff,23.71
9-1_Site56A_I4_CalCurve_run_313.wiff,23.71
9-1_Site56A_J1_CalCurve_run_048.wiff,100
9-1_Site56A_J2_CalCurve_run_100.wiff,100
9-1_Site56A_J3_CalCurve_run_163.wiff,100
9-1_Site56A_J4_CalCurve_run_314.wiff,100
